import time: self [us] | cumulative | imported package
import time:       624 |        624 |                             asyncio.coroutines
import time:       611 |        611 |                               asyncio.format_helpers
import time:       760 |        760 |                                 asyncio.base_futures
import time:       764 |        764 |                                 asyncio.exceptions
import time:       707 |        707 |                                 asyncio.base_tasks
import time:       722 |       2952 |                               _asyncio
import time:       962 |       4524 |                             asyncio.events
import time:       586 |        586 |                             asyncio.futures
import time:      1630 |       1630 |                             asyncio.protocols
import time:       743 |        743 |                               asyncio.transports
import time:       427 |        427 |                               asyncio.log
import time:      1513 |       2682 |                             asyncio.sslproto
import time:       503 |        503 |                                 asyncio.mixins
import time:       921 |       1424 |                               asyncio.locks
import time:       721 |        721 |                                 asyncio.queues
import time:       956 |        956 |                                 asyncio.timeouts
import time:      1125 |       2802 |                               asyncio.tasks
import time:       643 |       4868 |                             asyncio.staggered
import time:       544 |        544 |                             asyncio.trsock
import time:      1564 |      17665 |                           asyncio.base_events
import time:      1893 |       1893 |                           asyncio.graph
import time:       915 |        915 |                           asyncio.runners
import time:       872 |        872 |                           asyncio.streams
import time:       747 |        747 |                           asyncio.subprocess
import time:      2435 |       2435 |                           asyncio.taskgroups
import time:       533 |        533 |                           asyncio.threads
import time:       826 |        826 |                             _overlapped
import time:       885 |        885 |                             asyncio.base_subprocess
import time:       963 |        963 |                             asyncio.proactor_events
import time:       891 |        891 |                               selectors
import time:      1113 |       2004 |                             asyncio.selector_events
import time:       610 |        610 |                             asyncio.windows_utils
import time:      1126 |       6413 |                           asyncio.windows_events
import time:       844 |      32313 |                         asyncio
import time:       666 |        666 |                           pydantic._internal._dataclasses
import time:       841 |       1506 |                         pydantic.dataclasses
import time:       481 |        481 |                             pydantic_settings.utils
import time:      8103 |       8103 |                             pydantic_settings.sources.types
import time:      1092 |       1092 |                             pydantic_settings.sources.utils
import time:      1018 |      10692 |                           pydantic_settings.sources.base
import time:       716 |        716 |                                 pydantic_settings.sources.providers.env
import time:       724 |       1440 |                               pydantic_settings.sources.providers.aws
import time:       564 |        564 |                                 pydantic.alias_generators
import time:       650 |       1214 |                               pydantic_settings.sources.providers.azure
import time:       588 |        588 |                                 shlex
import time:      3527 |       4114 |                               pydantic_settings.sources.providers.cli
import time:       791 |        791 |                               pydantic_settings.sources.providers.dotenv
import time:       726 |        726 |                               pydantic_settings.sources.providers.gcp
import time:       590 |        590 |                               pydantic_settings.sources.providers.json
import time:       575 |        575 |                                 pydantic_settings.sources.providers.toml
import time:       644 |       1219 |                               pydantic_settings.sources.providers.pyproject
import time:       670 |        670 |                               pydantic_settings.sources.providers.secrets
import time:       586 |        586 |                               pydantic_settings.sources.providers.yaml
import time:       835 |      12181 |                             pydantic_settings.sources.providers
import time:        35 |      12216 |                           pydantic_settings.sources.providers.aws
import time:       601 |        601 |                           pydantic_settings.sources.providers.nested_secrets
import time:       608 |      24115 |                         pydantic_settings.sources
import time:      3539 |      61472 |                       pydantic_settings.main
import time:       672 |        672 |                       pydantic_settings.version
import time:       771 |      63515 |                     pydantic_settings
import time:       619 |        619 |                       starlette
import time:       676 |        676 |                         starlette.concurrency
import time:       539 |        539 |                         starlette.types
import time:      1221 |       2436 |                       starlette.datastructures
import time:       670 |        670 |                       starlette.middleware
import time:       712 |        712 |                         starlette._utils
import time:       467 |        467 |                           starlette.exceptions
import time:      1441 |       1441 |                                   python_multipart.exceptions
import time:      1366 |       2806 |                                 python_multipart.decoders
import time:      3207 |       6013 |                               python_multipart.multipart
import time:       669 |       6682 |                             python_multipart
import time:      2334 |       9016 |                           starlette.formparsers
import time:       955 |      10437 |                         starlette.requests
import time:      1294 |       1294 |                           secrets
import time:      1065 |       1065 |                           starlette.background
import time:      2333 |       4691 |                         starlette.responses
import time:       693 |      16531 |                       starlette.middleware.errors
import time:      1428 |       1428 |                           starlette.websockets
import time:       942 |       2369 |                         starlette._exception_handler
import time:       947 |       3315 |                       starlette.middleware.exceptions
import time:      1319 |       1319 |                         starlette.convertors
import time:      2062 |       3380 |                       starlette.routing
import time:       998 |      27946 |                     starlette.applications
